timestamp,funding,price,volume
1661270400000,8.46E-6,21460.70,126851.733
1661299200000,2.509E-5,21518.20,164245.649
1661328000000,-4.353E-5,21305.60,161623.129
1661356800000,-3.538E-5,21605.60,176859.420
1661385600000,1.28E-6,21355.00,138079.015
1661414400000,1.547E-5,21732.20,163906.096
1661443200000,4.481E-5,21557.00,113772.881
1661472000000,-1.707E-5,21548.30,113651.566
1661500800000,3.207E-5,21438.30,534978.055
1661529600000,2.599E-5,20769.60,247844.735
1661558400000,-2.808E-5,20228.70,180406.995
1661587200000,-6.29E-5,20255.00,160045.638
1661616000000,-4.396E-5,19966.00,129145.391
1661644800000,-1.396E-5,20024.00,86607.457
1661673600000,-8.758E-5,20045.00,130470.956
1661702400000,-2.443E-5,20007.60,169326.782
1661731200000,-1.3623E-4,19547.50,168558.749
1661760000000,-1.0056E-4,19885.30,269945.054
1661788800000,-6.193E-5,20249.10,159572.866
1661817600000,1.123E-5,20275.50,162085.791
1661846400000,-3.356E-5,20423.30,318530.163
1661875200000,-5.903E-5,19743.70,287099.039
1661904000000,-2.089E-5,19803.20,217283.541
1661932800000,5.779E-5,20247.50,295582.662
1661961600000,4.95E-5,20130.60,198773.136
1661990400000,9.39E-5,20041.40,172352.549
1662019200000,2.266E-5,19885.60,270282.826
1662048000000,3.63E-5,19775.70,248959.346
1662076800000,2.498E-5,20122.60,132191.792
1662105600000,4.905E-5,20100.40,263895.547
1662134400000,4.443E-5,20344.80,272960.477
1662163200000,-1.99E-6,19941.00,90292.529
1662192000000,9.442E-5,19808.10,105255.875
1662220800000,1.115E-5,19764.30,89692.585
1662249600000,5.88E-6,19820.70,69144.003
1662278400000,5.463E-5,19618.40,186551.409
1662307200000,2.119E-5,19781.60,141102.772
1662336000000,8.292E-5,19992.70,139097.546
1662364800000,-7.37E-6,19739.90,173947.611
1662393600000,4.712E-5,19848.10,133661.253
1662422400000,-2.45E-6,19784.90,266475.799
1662451200000,3.43E-6,19900.70,250842.756
1662480000000,3.473E-5,19810.20,428170.587
1662508800000,-8.601E-5,18781.40,169283.157
1662537600000,2.729E-5,18791.40,166299.876
1662566400000,-3.48E-5,18863.30,260053.660
1662595200000,6.2E-6,19287.00,139656.764
1662624000000,3.327E-5,19164.00,264994.253
1662652800000,5.667E-5,19240.50,132617.627
1662681600000,1.312E-5,19309.30,386119.893
1662710400000,1.0E-4,20623.60,376108.581
1662739200000,1.0E-4,21258.50,230268.626
1662768000000,1.0E-4,21352.00,157888.846
1662796800000,9.764E-5,21275.00,118954.077
1662825600000,1.0E-4,21213.30,214700.283
1662854400000,7.115E-5,21639.50,117625.964
1662883200000,1.0E-4,21600.00,130795.266
1662912000000,6.712E-5,21634.00,172558.096
1662940800000,1.0E-4,21820.30,332653.101
1662969600000,8.246E-5,22180.80,321506.087
1662998400000,1.0E-4,22105.90,164442.744
1663027200000,9.965E-5,22386.00,197937.974
1663056000000,1.0E-4,22267.90,621948.456
1663084800000,1.0E-4,20823.90,398883.497
1663113600000,-3.953E-5,20162.60,166034.318
1663142400000,7.27E-6,20235.40,222294.204
1663171200000,1.004E-5,20165.60,273474.075
1663200000000,3.24E-6,20217.00,198374.600
1663228800000,1.0E-4,20195.10,306475.052
1663257600000,8.13E-6,19728.80,161012.415
1663286400000,8.055E-5,19690.80,96942.676
1663315200000,4.349E-5,19730.40,251077.032
1663344000000,2.919E-5,19653.30,196589.096
1663372800000,3.024E-5,19792.40,123346.714
1663401600000,4.336E-5,19834.10,89869.058
1663430400000,1.467E-5,19951.70,121462.786
1663459200000,6.428E-5,20102.00,69403.048
1663488000000,7.82E-5,20041.30,190508.384
1663516800000,3.564E-5,19804.40,240005.042
1663545600000,3.581E-5,19404.50,339242.069
1663574400000,-9.289E-5,18459.70,378613.987
1663603200000,6.0E-6,19071.10,275920.296
1663632000000,7.813E-5,19528.60,186031.006
