calc_time,funding_interval_hours,last_funding_rate
1679529600016,8,0.00000248
1679558400001,8,-0.00001090
1679587200013,8,0.00010000
1679616000013,8,0.00010000
1679644800012,8,0.00010000
1679673600027,8,0.00010000
1679702400015,8,-0.00000310
1679731200011,8,0.00000425
1679760000011,8,0.00000292
1679788800000,8,6.1E-7
1679817600015,8,-0.00003326
1679846400000,8,0.00003634
1679875200019,8,0.00002905
1679904000009,8,0.00002409
1679932800000,8,-0.00000396
1679961600007,8,-0.00001428
1679990400000,8,0.00001123
1680019200013,8,0.00007531
1680048000010,8,0.00006075
1680076800006,8,0.00007098
1680105600014,8,0.00010000
1680134400000,8,0.00006987
1680163200000,8,0.00005638
1680192000006,8,0.00001123
1680220800003,8,-0.00002712
1680249600006,8,0.00006358
1680278400011,8,0.00010000
1680307200000,8,0.00010000
1680336000000,8,0.00010000
1680364800018,8,0.00008840
1680393600013,8,0.00004527
1680422400014,8,0.00006893
1680451200001,8,0.00004514
1680480000000,8,0.00001759
1680508800013,8,-0.00001240
1680537600011,8,0.00005688
1680566400002,8,-0.00006009
1680595200017,8,-0.00001357
1680624000008,8,-0.00001276
1680652800000,8,0.00002760
1680681600016,8,0.00008517
1680710400004,8,0.00005265
1680739200000,8,0.00001442
1680768000011,8,0.00003598
1680796800000,8,-0.00002975
1680825600006,8,0.00001004
1680854400005,8,-0.00001473
1680883200000,8,0.00001055
1680912000000,8,0.00000268
1680940800014,8,0.00000466
1680969600018,8,0.00003192
1680998400013,8,0.00000950
1681027200024,8,-0.00000904
1681056000010,8,-0.00000853
1681084800000,8,0.00010000
1681113600010,8,0.00010000
1681142400006,8,0.00006167
1681171200008,8,0.00010000
1681200000007,8,0.00010000
1681228800016,8,0.00010000
1681257600006,8,0.00009582
1681286400008,8,0.00008195
1681315200014,8,0.00001747
1681344000027,8,0.00006665
1681372800010,8,0.00004427
1681401600000,8,0.00010000
1681430400001,8,-0.00000113
1681459200008,8,0.00010000
1681488000007,8,0.00003420
1681516800007,8,-0.00004975
