datetime;open;high;low;close
2024-02-26 20:30:00;2033.05005;2033.68994;2032.89001;2033.41003
2024-02-26 20:15:00;2031.91003;2033.31006;2031.52002;2033.05005
2024-02-26 20:00:00;2029.79004;2032.15002;2029.76001;2031.93994
2024-02-26 19:45:00;2029.00000;2030.05005;2028.98999;2029.79004
2024-02-26 19:30:00;2028.81995;2029.38000;2028.63000;2029.01001
2024-02-26 19:15:00;2029.92004;2029.96997;2028.66003;2028.82996
2024-02-26 19:00:00;2029.38000;2030.33997;2029.37000;2029.98999
2024-02-26 18:45:00;2029.18005;2029.93005;2028.71997;2029.35999
2024-02-26 18:30:00;2029.82996;2030.16003;2028.53003;2029.28003
2024-02-26 18:15:00;2030.09998;2030.09998;2029.10999;2029.81995
2024-02-26 18:00:00;2028.73999;2030.09998;2028.22998;2030.09998
2024-02-26 17:45:00;2027.54004;2028.90002;2027.43005;2028.77002
2024-02-26 17:30:00;2028.20996;2028.20996;2027.01001;2027.48999
2024-02-26 17:15:00;2026.87000;2028.31995;2026.71997;2028.22998
2024-02-26 17:00:00;2027.82996;2028.01001;2026.60999;2026.88000
2024-02-26 16:45:00;2027.02002;2028.45996;2026.81995;2027.83997
2024-02-26 16:30:00;2027.57996;2028.37000;2026.78003;2026.97998
2024-02-26 16:15:00;2027.47998;2028.38000;2026.73999;2027.58997
2024-02-26 16:00:00;2029.22998;2029.52002;2026.65002;2027.46997
2024-02-26 15:45:00;2028.45996;2030.18005;2027.56995;2029.21997
2024-02-26 15:30:00;2026.88000;2028.54004;2025.14001;2028.46997
2024-02-26 15:15:00;2026.55005;2027.26001;2025.63000;2026.76001
2024-02-26 15:00:00;2027.69995;2028.71997;2026.37000;2026.62000
2024-02-26 14:45:00;2028.15002;2029.16003;2027.18994;2027.60999
2024-02-26 14:30:00;2028.05005;2028.12000;2025.78003;2028.12000
2024-02-26 14:15:00;2028.42004;2030.01001;2027.21997;2028.05005
2024-02-26 14:00:00;2032.76001;2032.93994;2027.91003;2028.44995
2024-02-26 13:45:00;2034.18994;2034.27002;2032.21997;2032.68994
2024-02-26 13:30:00;2032.25000;2034.50000;2032.08997;2034.15002
2024-02-26 13:15:00;2033.06995;2033.06995;2031.72998;2032.23999
2024-02-26 13:00:00;2032.93994;2033.72998;2032.03003;2032.98999
2024-02-26 12:45:00;2033.19995;2034.15002;2032.62000;2032.93005
2024-02-26 12:30:00;2033.15002;2033.30005;2032.60999;2033.21997
2024-02-26 12:15:00;2031.83997;2033.22998;2031.28003;2033.14001
2024-02-26 12:00:00;2031.01001;2031.90002;2030.81995;2031.82996
2024-02-26 11:45:00;2031.84998;2032.04004;2030.93005;2030.96997
2024-02-26 11:30:00;2032.62000;2033.07996;2031.68994;2031.79004
2024-02-26 11:15:00;2032.58997;2033.03003;2031.94995;2032.63000
2024-02-26 11:00:00;2032.21997;2032.76001;2031.02002;2032.63000
2024-02-26 10:45:00;2033.20996;2033.35999;2031.76001;2032.22998
2024-02-26 10:30:00;2034.87000;2035.27002;2033.03003;2033.19995
2024-02-26 10:15:00;2035.37000;2035.50000;2033.68994;2034.95996
2024-02-26 10:00:00;2033.16003;2035.43994;2033.03003;2035.40002
2024-02-26 09:45:00;2033.52002;2033.64001;2032.28003;2033.14001
2024-02-26 09:30:00;2033.23999;2034.34998;2032.79004;2033.58997
2024-02-26 09:15:00;2033.32996;2034.15002;2033.04004;2033.22998
2024-02-26 09:00:00;2034.09998;2034.46997;2033.31006;2033.31995
2024-02-26 08:45:00;2034.69995;2035.85999;2033.76001;2034.12000
2024-02-26 08:30:00;2036.30005;2037.07996;2034.40002;2034.69995
2024-02-26 08:15:00;2034.89001;2036.39001;2034.87000;2036.30005
2024-02-26 08:00:00;2035.16003;2035.62000;2034.29004;2034.85999
2024-02-26 07:45:00;2033.83997;2035.18005;2033.83997;2035.16003
2024-02-26 07:30:00;2034.97998;2035.40002;2033.75000;2033.84998
2024-02-26 07:15:00;2034.34998;2035.12000;2033.69995;2035.08997
2024-02-26 07:00:00;2032.77002;2035.13000;2032.43994;2034.29004
2024-02-26 06:45:00;2033.71997;2033.81006;2032.60999;2032.78003
2024-02-26 06:30:00;2033.34998;2033.98999;2033.06995;2033.84998
2024-02-26 06:15:00;2032.06006;2033.41003;2031.95996;2033.41003
2024-02-26 06:00:00;2033.07996;2033.09998;2031.95996;2032.09998
2024-02-26 05:45:00;2033.13000;2034.33997;2033.08997;2033.12000
2024-02-26 05:30:00;2033.31006;2033.52002;2032.58997;2033.12000
2024-02-26 05:15:00;2032.87000;2033.51001;2032.62000;2033.31995
