datetime;open;high;low;close;volume
2023-02-01 15:15:00;33892.01953;33898.69922;33854.39844;33883.60156;11272854
2023-02-01 15:00:00;33954.94922;33963.76953;33846.14062;33891.67188;12097640
2023-02-01 14:45:00;33915.98828;33981.01953;33915.98828;33953.46094;13181945
2023-02-01 14:30:00;34039.60156;34039.60156;33831.07031;33913.14062;16431467
2023-01-31 20:45:00;33967.55859;34095.23047;33965.51953;34087.75000;41114891
2023-01-31 20:30:00;33888.76172;33966.91016;33887.41016;33966.91016;10431713
2023-01-31 20:15:00;33919.03125;33920.14844;33883.17188;33888.98828;8355092
2023-01-31 20:00:00;33929.00000;33952.37891;33906.39844;33918.94922;7257043
2023-01-31 19:45:00;33934.87891;33957.50000;33923.85156;33928.07812;6444309
2023-01-31 19:30:00;33929.76172;33946.30078;33921.39844;33934.67969;6174450
2023-01-31 19:15:00;33938.58984;33940.62891;33912.82812;33929.82812;6517622
2023-01-31 19:00:00;33936.28125;33959.82031;33936.28125;33938.35156;6896506
2023-01-31 18:45:00;33895.92969;33938.37109;33891.37891;33936.05859;5840400
2023-01-31 18:30:00;33888.94922;33904.19141;33879.23047;33896.03125;4568320
2023-01-31 18:15:00;33874.30859;33889.76953;33859.14844;33888.82031;5404607
2023-01-31 18:00:00;33871.37891;33884.48828;33862.12109;33874.51953;4483244
2023-01-31 17:45:00;33891.50000;33894.05078;33855.51953;33871.17969;4703749
2023-01-31 17:30:00;33858.85156;33896.89062;33849.75000;33891.01172;5848212
2023-01-31 17:15:00;33785.66016;33860.66016;33785.05859;33858.69141;5914907
2023-01-31 17:00:00;33791.28125;33801.14062;33762.87109;33785.12109;6373380
2023-01-31 16:45:00;33786.53906;33809.01172;33766.30078;33792.12891;5790356
2023-01-31 16:30:00;33807.23828;33833.87891;33786.01953;33786.42969;6963090
2023-01-31 16:15:00;33801.82812;33820.73047;33772.89062;33807.01172;7715844
2023-01-31 16:00:00;33782.37109;33828.57812;33782.37109;33801.62109;7392101
