open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1655827200000,21382.90,21540.00,20863.60,20879.50,99932.540,1655841599999,2121970675.17449,871838,49073.521,1042473770.83450,0
1655841600000,20879.60,21056.70,20535.20,20713.10,95976.974,1655855999999,1996907108.24935,843518,47859.769,996231263.53019,0
1655856000000,20713.10,20729.70,20246.50,20309.00,92584.065,1655870399999,1898460810.97017,832379,45953.989,942683078.80570,0
1655870400000,20309.00,20592.50,19920.00,20091.60,125554.155,1655884799999,2539887902.22316,991647,61524.369,1244986867.88846,0
1655884800000,20091.60,20680.00,20032.70,20497.50,107119.530,1655899199999,2182600989.03176,912747,56475.770,1150888025.83066,0
1655899200000,20497.60,20888.00,20023.10,20075.40,216205.137,1655913599999,4428130729.15712,1713326,105734.972,2166935005.43903,0
1655913600000,20075.40,20373.80,19830.00,20103.00,168382.161,1655927999999,3391464126.58117,1345238,84389.116,1700089509.52797,0
1655928000000,20103.00,20234.90,19745.70,19977.40,102339.145,1655942399999,2044959817.41784,925164,51341.438,1026133009.49297,0
1655942400000,19977.50,20600.00,19874.00,20202.90,108125.938,1655956799999,2197320644.09619,864120,55729.783,1132800884.36901,0
1655956800000,20202.90,20666.00,20152.00,20446.20,86741.862,1655971199999,1770608753.69328,765458,45228.924,923382601.37858,0
1655971200000,20446.20,20806.90,20433.80,20629.50,112454.988,1655985599999,2320736507.76333,950809,59444.876,1227030148.93933,0
1655985600000,20629.50,20855.00,20264.70,20339.90,140045.442,1655999999999,2873827028.81607,1133019,70209.744,1441174800.85664,0
1656000000000,20339.90,20950.00,20158.10,20900.50,117339.124,1656014399999,2404093465.71583,945088,62109.592,1273144800.13993,0
1656014400000,20900.40,21250.00,20655.00,21096.60,134045.686,1656028799999,2805811842.59794,1069252,70564.450,1477370652.34287,0
1656028800000,21096.60,21379.20,20963.00,21066.30,83233.608,1656043199999,1758484779.78017,778061,41842.265,884267031.63435,0
1656043200000,21066.40,21168.90,20732.50,20903.90,86212.667,1656057599999,1805518982.53453,760209,43852.363,918431637.87390,0
1656057600000,20903.80,21325.00,20736.00,21165.00,110412.275,1656071999999,2321332900.19366,929721,56920.626,1196963656.62116,0
1656072000000,21165.00,21491.40,20807.00,20875.40,164350.516,1656086399999,3477906234.45136,1257908,80744.886,1709179392.06074,0
1656086400000,20875.50,21259.70,20771.50,21241.90,111113.727,1656100799999,2337316095.68632,908915,57073.026,1200736567.23022,0
1656100800000,21241.80,21563.50,21130.20,21231.20,90127.985,1656115199999,1920776714.27864,807692,45520.046,970511855.38474,0
1656115200000,21231.20,21369.30,21110.00,21295.00,71447.042,1656129599999,1517330014.74210,635082,36505.015,775367751.16240,0
1656129600000,21295.00,21627.60,21170.00,21495.50,74474.740,1656143999999,1590764054.38654,637963,39291.376,839398350.45244,0
1656144000000,21495.50,21549.80,21308.00,21329.10,52891.918,1656158399999,1132751080.87260,509745,25844.975,553585953.42880,0
1656158400000,21329.20,21366.90,20894.00,20958.90,108646.855,1656172799999,2295798847.01709,940238,52570.413,1111077699.86670,0
1656172800000,20959.00,21280.00,20907.50,21195.50,60691.493,1656187199999,1280323719.39440,547337,32243.209,680357827.17620,0
1656187200000,21195.40,21600.00,21130.00,21481.90,65965.399,1656201599999,1411774288.87518,594698,35283.805,755297797.55168,0
1656201600000,21481.90,21539.70,21263.70,21415.10,49149.297,1656215999999,1052286397.09340,439698,24777.492,530545579.12820,0
1656216000000,21415.10,21520.00,21324.50,21390.10,45236.458,1656230399999,969153921.87750,401298,22421.953,480396941.51280,0
1656230400000,21390.10,21816.00,21355.00,21699.50,66665.057,1656244799999,1433916387.21014,545670,36523.024,785948891.35264,0
1656244800000,21699.40,21888.00,21180.00,21314.20,139640.053,1656259199999,2998664404.37084,1062814,67440.793,1448747360.96420,0
1656259200000,21314.20,21431.20,21116.50,21273.60,62348.234,1656273599999,1324925887.52110,548041,30404.150,646218948.40890,0
1656273600000,21273.60,21420.10,20952.00,21029.10,79748.637,1656287999999,1688616442.81289,677853,38278.969,810656874.19950,0
1656288000000,21029.10,21180.00,20908.80,21160.90,59311.202,1656302399999,1249486426.00430,530172,30017.445,632433319.36720,0
1656302400000,21160.90,21387.00,21127.20,21354.90,58748.254,1656316799999,1248412783.49098,484898,31083.912,660616217.37048,0
1656316800000,21354.90,21560.00,21277.00,21298.20,75321.574,1656331199999,1612698979.57726,625107,38036.742,814583839.10116,0
1656331200000,21298.10,21338.00,20575.00,20744.00,188997.844,1656345599999,3945655872.90217,1403119,92501.572,1930980286.30180,0
1656345600000,20744.00,20950.00,20500.00,20845.80,96729.392,1656359999999,2008209776.18368,762971,47080.447,977919519.49094,0
1656360000000,20845.80,20966.00,20666.00,20730.00,60226.743,1656374399999,1254595967.93640,491213,29464.450,613832583.61840,0
1656374400000,20730.00,20868.20,20510.00,20722.60,74327.842,1656388799999,1537104415.08066,608692,37748.070,780726162.91670,0
1656388800000,20722.60,20920.00,20691.90,20868.20,60006.808,1656403199999,1248983559.28674,481645,30048.707,625492598.96014,0
1656403200000,20868.30,21198.00,20855.80,20987.90,112085.876,1656417599999,2358179132.97539,841425,57659.028,1213040882.68139,0
1656417600000,20987.80,21138.70,20575.20,20595.40,134940.377,1656431999999,2816165136.44577,1055218,67256.074,1403874145.50650,0
1656432000000,20595.70,20757.90,20209.10,20246.60,129503.779,1656446399999,2651340703.73061,958518,61524.334,1260246244.38950,0
1656446400000,20246.70,20450.00,20188.00,20268.60,72051.426,1656460799999,1462791734.16710,594786,34916.579,708946354.37650,0
1656460800000,20268.70,20385.10,20140.50,20275.90,62400.474,1656475199999,1266701601.10550,519144,29918.314,607467285.16470,0
1656475200000,20275.90,20366.00,19887.10,20080.60,128029.977,1656489599999,2576048382.23352,923602,61447.018,1236555509.99340,0
1656489600000,20080.50,20235.60,19817.20,20096.90,116544.781,1656503999999,2337003509.59860,834659,57915.616,1161736430.47070,0
1656504000000,20096.90,20180.00,19882.60,20076.30,141521.865,1656518399999,2839095015.01850,918256,72253.650,1449664254.39020,0
1656518400000,20076.30,20270.10,19920.00,20214.10,74336.735,1656532799999,1490963715.01690,546398,39277.732,787983862.52920,0
1656532800000,20212.80,20430.00,20037.70,20109.90,86072.158,1656547199999,1741129212.52207,585605,42865.735,867175089.22337,0
1656547200000,20109.90,20165.00,19932.40,20062.60,58234.411,1656561599999,1167599670.54850,423158,28834.082,578191559.65670,0
1656561600000,20062.50,20077.00,19300.00,19423.50,135409.211,1656575999999,2657888498.26249,871073,61765.724,1212194753.72950,0
1656576000000,19423.10,19429.90,18902.00,19088.70,180156.683,1656590399999,3443728177.64754,1134407,88855.926,1698431679.03110,0
1656590400000,19088.70,19338.00,18702.00,19133.50,193562.819,1656604799999,3690162938.23834,1184399,96935.670,1848458461.85418,0
1656604800000,19133.40,19300.00,18843.00,18921.30,102335.838,1656619199999,1950247642.60486,717537,52252.245,996078202.68790,0
1656619200000,18921.30,19965.60,18563.00,19923.50,190282.453,1656633599999,3638599841.54759,1171608,100117.746,1917247554.07244,0
1656633600000,19923.30,20926.40,19649.50,19720.10,256703.703,1656647999999,5190835547.04714,1533983,127677.823,2583426231.78842,0
1656648000000,19720.60,19748.50,19303.00,19566.10,165563.996,1656662399999,3229313489.99882,1123524,85107.577,1660282238.54320,0
1656662400000,19566.10,19794.80,18948.80,19180.00,157457.563,1656676799999,3046336885.13432,1074553,75934.600,1469616167.88512,0
1656676800000,19179.90,19666.00,19115.10,19279.50,169455.629,1656691199999,3280647771.86417,1167537,85411.526,1654059554.62708,0
1656691200000,19279.40,19535.00,19237.60,19380.10,86300.974,1656705599999,1673405304.64000,641858,43169.608,837148159.81570,0
1656705600000,19379.30,19686.80,19207.60,19272.00,79917.498,1656719999999,1552738788.36359,610843,40569.613,788424347.41850,0
1656720000000,19272.00,19383.20,19043.60,19121.70,71071.844,1656734399999,1365110805.37130,595767,35055.493,673483407.83300,0
1656734400000,19121.80,19296.20,19096.70,19119.90,51960.677,1656748799999,997684160.39030,410436,25973.439,498799870.32150,0
1656748800000,19120.00,19280.30,18959.00,19188.60,75303.773,1656763199999,1441682342.11809,588880,38804.369,743129764.34400,0
1656763200000,19188.70,19456.00,19136.20,19219.90,88740.018,1656777599999,1710406012.10470,627112,44733.244,862262694.50930,0
1656777600000,19219.90,19400.00,19181.60,19263.60,55461.923,1656791999999,1069535086.52080,444224,27921.504,538505349.10080,0
1656792000000,19263.60,19375.30,19183.40,19240.90,40313.290,1656806399999,777179499.21860,310227,20785.032,400736857.15800,0
1656806400000,19241.00,19300.00,19150.10,19254.60,36842.209,1656820799999,708488443.92780,288754,18854.435,362625351.02540,0
1656820800000,19254.60,19392.60,18780.10,19127.80,129678.976,1656835199999,2478732164.67225,851480,64541.015,1233939013.69369,0
1656835200000,19127.70,19147.00,18921.90,19080.00,64058.229,1656849599999,1219792486.93368,481042,31199.312,594135073.23380,0
1656849600000,19080.10,19114.00,18955.00,19035.30,57015.023,1656863999999,1085482589.92270,472927,29056.559,553232390.94240,0
1656864000000,19035.30,19562.20,19008.70,19483.30,76212.840,1656878399999,1467597493.03888,579592,42204.745,812740785.29018,0
1656878400000,19483.50,19645.40,19200.00,19305.90,85701.054,1656892799999,1662357307.61099,624487,42905.185,832542223.62410,0
1656892800000,19306.00,19333.10,19046.30,19094.00,59479.086,1656907199999,1140485469.52930,483200,29384.561,563515140.37000,0
1656907200000,19094.00,19179.40,19071.60,19115.20,38446.371,1656921599999,735047047.94100,320375,18679.916,357171257.96520,0
1656921600000,19115.10,19838.00,19102.30,19794.20,149700.773,1656935999999,2913464919.99667,972890,81380.513,1584500890.00947,0
1656936000000,19794.20,20123.00,19494.40,19792.40,181557.409,1656950399999,3585320569.81280,1262943,92279.727,1822426421.46907,0
1656950400000,19792.40,20061.90,19666.30,19823.90,101114.027,1656964799999,2006508252.90530,800858,52450.034,1040950458.71400,0
1656964800000,19824.00,20350.00,19719.50,20226.60,103012.521,1656979199999,2064865654.82516,842248,55396.987,1110682797.19634,0
1656979200000,20226.30,20474.00,20150.00,20302.80,86131.787,1656993599999,1747899251.98440,720502,46225.322,938235645.41680,0
1656993600000,20302.80,20448.60,20159.00,20207.70,77724.731,1657007999999,1577687644.52980,653228,38001.724,771569688.78850,0
1657008000000,20207.80,20209.20,19461.90,19514.30,166940.042,1657022399999,3306404817.33376,1182315,77927.417,1543637752.39220,0
1657022400000,19514.30,19585.70,19291.60,19507.00,173192.649,1657036799999,3366359339.86910,1258593,88186.380,1714342775.60360,0
1657036800000,19507.00,20525.40,19478.00,20392.80,192925.414,1657051199999,3847888362.75756,1350188,104229.050,2079541446.41116,0
1657051200000,20392.90,20749.20,20102.00,20170.00,157324.244,1657065599999,3210823958.47823,1211908,78977.008,1612630707.53989,0
1657065600000,20170.10,20396.70,19753.00,19940.40,115695.634,1657079999999,2316628052.81432,853977,57608.992,1153944927.58600,0
1657080000000,19940.40,20316.30,19850.00,20150.90,132223.451,1657094399999,2656255406.55985,995620,68934.319,1384978690.65515,0
1657094400000,20151.00,20295.00,20033.80,20098.70,92750.207,1657108799999,1869313281.52380,759844,46664.179,940701546.92550,0
1657108800000,20098.70,20372.10,19950.00,20140.10,135567.596,1657123199999,2730714651.36307,1055961,69047.541,1391098595.60367,0
1657123200000,20140.10,20477.00,20125.30,20319.80,125018.559,1657137599999,2537766578.08700,889922,64858.030,1316762011.62200,0
1657137600000,20319.80,20667.60,20259.20,20554.10,80821.011,1657151999999,1654264102.89376,673045,43061.552,881477008.06606,0
1657152000000,20554.20,20588.00,20373.60,20474.00,52230.802,1657166399999,1069468327.33990,482054,25943.233,531258095.32800,0
1657166400000,20474.00,20487.50,20244.90,20432.80,59811.020,1657180799999,1218259827.00998,480279,30645.320,624297059.90200,0
1657180800000,20432.80,20619.10,20384.50,20504.30,74776.458,1657195199999,1532696121.80326,604423,38270.759,784549515.74706,0
